ID_MUNICIPIO;ANNO;HOGARES;ID_DEPARTAMENTO
76233;2018;16306;76
76243;2018;2779;76
76246;2018;2215;76
76248;2018;17373;76
76250;2018;2851;76
76275;2018;17146;76
76306;2018;7357;76
76318;2018;10585;76
76364;2018;47736;76
76377;2018;5633;76
76400;2018;11308;76
76403;2018;4148;76
76497;2018;4083;76
76520;2018;114607;76
76563;2018;14221;76
76606;2018;4945;76
76616;2018;5404;76
76622;2018;11528;76
76670;2018;4987;76
76736;2018;14181;76
76823;2018;4739;76
76828;2018;5896;76
76834;2018;71024;76
76845;2018;1736;76
76863;2018;2460;76
76869;2018;3949;76
76890;2018;5099;76
76892;2018;34048;76
76895;2018;13278;76
81001;2018;25476;81
81065;2018;15001;81
81220;2018;1252;81
81300;2018;5762;81
81591;2018;1352;81
81736;2018;18985;81
81794;2018;13371;81
85001;2018;56364;85
85010;2018;13181;85
85015;2018;900;85
85125;2018;3468;85
85136;2018;454;85
85139;2018;5752;85
85162;2018;6423;85
85225;2018;2728;85
85230;2018;3469;85
85250;2018;11346;85
85263;2018;4083;85
85279;2018;639;85
85300;2018;1359;85
85315;2018;711;85
85325;2018;2502;85
85400;2018;2218;85
85410;2018;7289;85
85430;2018;3988;85
85440;2018;12761;85
86001;2018;21343;86
86219;2018;2069;86
86320;2018;15387;86
86568;2018;23038;86
86569;2018;7488;86
86571;2018;11901;86
86573;2018;9269;86
86749;2018;5551;86
86755;2018;2093;86
86757;2018;6985;86
86760;2018;2727;86
86865;2018;14085;86
86885;2018;7940;86
88001;2018;18287;88
88564;2018;2156;88
91001;2018;12413;91
91263;2018;481;91
91405;2018;590;91
91407;2018;788;91
91430;2018;162;91
91460;2018;339;91
91530;2018;192;91
91536;2018;286;91
91540;2018;2294;91
91669;2018;382;91
91798;2018;868;91
94001;2018;7938;94
94343;2018;1059;94
94663;2018;125;94
94883;2018;300;94
94884;2018;330;94
94885;2018;47;94
94886;2018;126;94
94887;2018;353;94
94888;2018;137;94
95001;2018;15880;95
95015;2018;2902;95
95025;2018;3813;95
95200;2018;2083;95
97001;2018;5369;97
97161;2018;528;97
97511;2018;552;97
97666;2018;433;97
97777;2018;157;97
97889;2018;117;97
99001;2018;6256;99
99524;2018;2922;99
99624;2018;1104;99
99773;2018;16648;99
5001;2019;846522;5
5002;2019;6823;5
5004;2019;946;5
5021;2019;1657;5
5030;2019;10051;5
5031;2019;8798;5
5034;2019;13812;5
5036;2019;1954;5
5038;2019;3558;5
5040;2019;6043;5
5042;2019;9114;5
5044;2019;2301;5
5045;2019;39270;5
5051;2019;8609;5
5055;2019;2518;5
5059;2019;2065;5
5079;2019;19051;5
5086;2019;1729;5
5088;2019;179138;5
5091;2019;3082;5
5093;2019;4864;5
5101;2019;8234;5
5107;2019;2690;5
5113;2019;2777;5
5120;2019;8380;5
5125;2019;2704;5
5129;2019;25900;5
5134;2019;2672;5
5138;2019;4958;5
5142;2019;1692;5
5145;2019;1641;5
5147;2019;15052;5
5148;2019;18892;5
5150;2019;1512;5
5154;2019;27570;5
5172;2019;17692;5
5190;2019;3503;5
5197;2019;5128;5
5206;2019;1664;5
5209;2019;6875;5
5212;2019;25986;5
5234;2019;6598;5
5237;2019;6286;5
5240;2019;4402;5
5250;2019;14390;5
